StartDevice,StartPort,EndDevice,Console_type,Proxy
strtk5-0101-0200-01c0,3,strtk5-7260-root-01,ssh,admin
strtk5-0101-0200-01c0,5,strtk5-7260-fanout-02,ssh,admin
strtk5-0101-0200-01c0,6,strtk5-7260-fanout-03,ssh,admin
strtk5-0101-0200-01c0,10,strtk5-7260-fanout-04,ssh,admin
strtk5-0101-0200-01c0,12,strtk5-7260-fanout-05,ssh,admin
strtk5-0101-0200-01c0,15,strtk5-7260-fanout-06,ssh,admin
strtk5-0101-0200-01c0,18,strtk5-7260-fanout-07,ssh,admin
strtk5-0101-0200-01c0,21,strtk5-7260-fanout-08,ssh,admin
strtk5-0101-0200-02c0,3,strtk5-7260-fanout-09,ssh,admin
strtk5-0101-0200-02c0,6,strtk5-7260-fanout-10,ssh,admin
strtk5-0101-0200-02c0,9,strtk5-7260-fanout-11,ssh,admin
strtk5-0101-0200-02c0,10,strtk5-7260-fanout-12,ssh,admin
strtk5-0101-0200-02c0,14,strtk5-7260-fanout-13,ssh,admin
strtk5-0101-0200-02c0,15,strtk5-7260-fanout-14,ssh,admin
strtk5-0101-0200-02c0,17,strtk5-7260-fanout-15,ssh,admin
strtk5-0101-0200-02c0,20,strtk5-7260-fanout-16,ssh,admin
strtk5-0101-0200-02c0,22,strtk5-7260-fanout-17,ssh,admin
strtk5-0101-0200-02c0,23,strtk5-7260-fanout-18,ssh,admin
strtk5-0101-0200-02c0,27,strtk5-7260-fanout-19,ssh,admin
strtk5-0101-0200-02c0,28,strtk5-7260-fanout-20,ssh,admin
strtk5-0101-0200-02c0,29,strtk5-7260-fanout-21,ssh,admin
strtk5-0101-0200-03c0,6,strtk5-7260-fanout-23,ssh,admin
strtk5-0101-0200-03c0,7,strtk5-7260-fanout-24,ssh,admin
strtk5-0101-0200-03c0,10,strtk5-7260-fanout-25,ssh,admin
strtk5-0101-0200-03c0,12,strtk5-7260-fanout-26,ssh,admin

strtk5-0101-0200-01c0,4,strtk5-7260-01,ssh,admin
strtk5-0101-0200-02c0,32,strtk5-7260-7,ssh,admin
strtk5-0101-0200-01c0,7,strtk5-8101-01,ssh,admin
strtk5-0101-0200-01c0,8,strtk5-8101-fanout-02,ssh,admin
strtk5-0101-0200-02c0,21,strtk5-a7170-acs-1,ssh,admin
strtk5-0101-0200-02c0,24,strtk5-dx010-acs-4,ssh,admin
strtk5-0101-0200-02c0,25,strtk5-dx010-acs-5,ssh,admin
strtk5-0101-0200-03c0,5,strtk5-e1031-acs-3,ssh,admin
strtk5-0101-0200-02c0,5,strtk5-msn2700-01,ssh,admin
strtk5-0101-0200-01c0,20,strtk5-msn2700-02,ssh,admin
strtk5-0101-0200-01c0,11,strtk5-msn2700-03,ssh,admin
strtk5-0101-0200-02c0,4,strtk5-msn2700-04,ssh,admin
strtk5-0101-0200-01c0,22,strtk5-msn2700-06,ssh,admin
strtk5-0101-0200-02c0,26,strtk5-msn4600c-acs-02,ssh,admin
strtk5-0101-0200-03c0,11,strtk5-n3132-acs-1,ssh,admin
strtk5-0101-0200-01c0,14,strtk5-n3132-acs-2,ssh,admin
strtk5-0101-0200-02c0,12,strtk5-n3132-acs-3,ssh,admin
strtk5-0101-0200-02c0,19,strtk5-n3164-acs-2,ssh,admin
strtk5-0101-0200-03c0,9,strtk5-s6000-02,ssh,admin
strtk5-0101-0200-01c0,19,strtk5-s6000-06,ssh,admin
strtk5-0101-0200-01c0,16,strtk5-s6000-07,ssh,admin
strtk5-0101-0200-01c0,13,strtk5-s6000-08,ssh,admin
strtk5-0101-0200-01c0,9,strtk5-s6000-09,ssh,admin
strtk5-0101-0200-02c0,11,strtk5-s6000-12,ssh,admin
strtk5-0101-0200-02c0,7,strtk5-s6000-14,ssh,admin
strtk5-0101-0200-02c0,13,strtk5-s6100-acs-2,ssh,admin
strtk5-0101-0200-02c0,16,strtk5-s6100-acs-4,ssh,admin
strtk5-0101-0200-02c0,8,strtk5-s6100-acs-5,ssh,admin
strtk5-0101-0200-02c0,31,strtk5-sn3800-01,ssh,admin
